text,label,notes
[Autosport] Putting Lewis Hamilton's F1 career in perspective,technical ,
Lewis has been a part of 387 races since his debut in 2007 and he's won 106 of them despite being winless for 3 whole seasons. And he was 103/288 at the end of the 2021. Insanity.,technical ,
"Truly mental : 387 races, 206 podiums, 106 wins. Can't figure which is the most phenomenal rate : 53% podium rate, 27% win rate. For reference, M. Schumacher stands at :307 races, 155 podiums (50%),91 wins (29%)",technical ,
"even more insane is that he's been on podium for 206... over half of the races he's started (53%), he's been on the podium, even with the barren streak of recent years.",technical ,
Jim Clark was an MF monster. At the time of his death he had a career WIN percentage of over 35%. Thats pretty much unfathomable.,technical ,
"Top 4 by win percentage after Barcelona are Clark (34.25%), Verstappen (29.58%), Schumacher (29.55%), Hamilton (27.39%). If Verstappen doesn't win in Austria, he'll fall back behind Schumacher. And if it weren't for the Mercedes comeback, Schumacher would sit at 36.4%. After the 2021 season and before his draught, Lewis was at 35.76%.",technical ,
"Of the 22 current drivers combined careers, Hamilton has 39% of all the wins.",technical ,
"Honda engines were decent in the last reg cycle and in 2021 though, with Red Bull winning 4 WDC’s and 2 WCC‘s nonetheless. You‘d think they learned one or two things and figured things out, so can‘t fully blame AM.",technical ,
"Honda only had a small group in the UK, most of Honda's people worked in Japan. They were reshuffled at Honda, so they might have lost a few key people that fit better in their new positions, but they should still have most of their original bunch. Biggest issue for Honda was the decision to leave (so they weren't as involved in the shaping of the rules), and not having a team to work with until mid-2023. The other teams had a head-start on them. It doesn’t help that AM made late changes to the chassis that apparently meant the PU doesn’t intergrate as well.",technical ,
"Ferrari brought new wheel rims to Barcelona, to manage rear tyre overheating on the SF-26 by the way of brake heat radiating through the rims and into the tyres, improving tyre degradation",technical ,
SF18H was quite an innovative car despite it falling behind Mercedes overall that year. The way they spent their development tokens for rear suspension upgrades improving the SF1000 to the SF21 was also remarkable. Pre TD39 SF75 was also an innovative design.,technical ,
"Source. The wheel rims were manufactured by BBS Japan.This area of research is new for 2026, as the FIA mandated all wheel rims be the same for the Ground Effect era cars from 2022-2025. This year, however, they have removed restrictions and allowed teams to develop them in their unique way.",technical ,
"Reminds me in 2018 the wheel rims were a relatively big place for innovation, especially with circuits like Sochi. I think Mercedes brought a set of rims that caused a hubbub around its legality for Sochi in 2018. I'm pretty sure they were unambiguously legal, and it was just over-enthusiastic press. At least with those cars and those tyres (which struggled a lot from thermal deg) during quali at Sochi you could only be that fast in 2 of 3 sectors, you either go hard in the first 2 and lose your tyres through the mickey mouse bits of the 3rd sector, or you save a little bit and finish stronger. Barcelona has had that under multiple different tyres, and it typically had it show up more in the race.",technical ,
"Max Verstappen has just become the driver who has finished on the podium from the most different positions in the history of Formula 1 P1, P2, P3, P4, P5, P6, P7, P8, P9, P10, P14, P15, P16, P17, P18, P20 and the Pit Lane",technical ,
"Looks like he's had 4 P11 starts ever, no P12s, 3 P13s, and technically I think this counts as P19, but if not then 3 P19 starts.source: statsf1.com (can sort by column)",technical ,
"Reminder: grand slam, or grand chelem, is when the driver qualifies in pole position, wins the race, leads every lap, and sets the fastest lap. (I had to look it up)",technical ,
"It’s required to fail shut. If it was doing a full rotation, then an actuator failure would see the wing keep spinning.",technical ,
"It’s interesting because the technical regulations simply state that the rear wing flap must be controlled by the FIA ECU, have only two position (corner mode and straight line mode), actuate under 400ms and rotate about a single axis. There’s nothing to say the maximum angle change, only that the angle of incidence between flaps needs to decrease when going from cornering mode to straight line mode, and must return by the same magnitude when going back to cornering mode. If the angle of incidence between wing elements when closed is for instance +20 degrees, actuating the RW Flap by 180 degrees reduces this from +20 degrees to -160 degrees when measuring from the same point, so seems to technically be correct?",technical ,
"“While Hamilton’s stint was brief, journalist Simone Peluso noticed an immediate uptick in the ‘first telemetry data’. He apparently gained ‘8-10km/h’ on the straights relative to the earlier spec.” Quote pulled from here",technical ,
How the hell they packaged the mechanism into those thin endplates? That's actually impressive packaging considering the forces it needs to withstand.,technical ,
"McLaren’s best form for arguably 40 years as well. If Oscar starts a dynasty and starts winning titles back to back like Lewis did at Mercedes, it’ll be in the same ballpark legacy wise. Back in 2022 most people were less than optimistic for Alpine but McLaren seemed stuck in a loop of improving in season and then messing up the winter. The scale of McLaren’s rise was absolutely unexpected. Nobody would have bet they’d have won the WCC within 2 seasons and have the double in 3. Alpine’s downfall however was really inevitable.",technical ,
Jenson Button was the first driver to press the DRS button at the 2011 Australian GP. Fernando Alonso made the first DRS overtake in the Australian GP 2011 on Nico Rosberg. Kimi Antonelli is the last driver to press a DRS button.,technical ,
What is DRS and why does the device raise criticism?,technical ,
"Formula1.com: Drivers can then switch to X-mode, which is a low-drag configuration that sees the flap angle change on both the front and rear wing to maximise straight-line speed. The system will be driver-activated and available in certain parts of the track where lower levels of downforce are safe. The FIA say that based on current discussions, they are anticipating it will be available for any straight line longer than three seconds.",technical ,
"It is a per lap activation, so no zones. It is, however, restricted to high speeds due to the way it works. The maximum MGU-K power of these cars will be gradually reduced from 350kW to 0 with increasing speed to manage energy. Override mode overrides this drop-off and delays it. It usually starts at 290kph, override delays it to ~347 338kph, I think, and it hits 0 at 355kph instead of normally 345kph.",technical ,
"Mercedes actually developed a double-DRS loophole in 2012, where when the rear wing flap is opened under DRS, it funnels an air through a small gap in the rear wing all the way to the front wing. When air hits the front wing, it stalls it and thereby further increasing top speed, and that's how they got the advantage to win China 2012. An ingenious device that got banned very early on. https://www.autosport.com/f1/news/banned-the-mercedes-f1-teams-double-drs-device-4982943/4982943/",technical ,
"They will now have ""Active Aero"" for both front and rear wings which will open up the wings when using them. They will have a Z-MODE for using the active aero for cornering speeds. They will have a X-MODE which is low-drag meant to maximize straight-line speed.",technical ,
"We get an override mode for an overtaking aid, they press a button and get additional power from the MGU when 1 second behind a car.",technical ,
"Drag coefficients for Mercedes, Ferrari, and Red Bull in Bahrain quali",technical ,
"Another thing to consider is that racing tyres at these temps tend to 'melt' or deform onto the track in a way, creating a larger contact patch than it would otherwise be. This is a phenomenon known as 'stiction' (think sticky friction), and has a much greater resistance to rolling than a normal road tire.",technical ,
Where exactly can you check the telemetry? I can't find it.,technical ,
McLaren trims front wing & adds reduced-chord rear wing options. Red Bull tweaks front wing flaps for better balance. Racing Bulls updates rear wing for efficiency,technical ,
Can we have a discussion about the drag strip outside the final corner?,technical ,
"The Rally car is made to get maximum grip in the slippery conditions. It’s geared really low for acceleration but low top end speed. Most Rally courses don’t have long straights, but a lot of corners. The F1 car has launch assist, but you have to wonder if that was dialed down with an inexperienced driver, even though it is Stig. Plus F1 cars struggle at slow speed with lack of downforce, but once it starts going faster, the air will push down on the car causing more grip and allowing it to handle better. The Formua E car is just pure garbage lol",technical ,
Drag Race: Formula E vs WRC vs Formula One... in the wet! | Top Gear Christmas Special | Top Gear,technical ,
Mercedes shakedown vs Ferrari shakedown. A look at the differences between the two teams’ front wings [wearetherace],technical ,
"They got new cooling system, their medium deg also similar with mclaren so yeah",technical ,
